codigo_publicacion,serie,numero,sku_tesoros,estado_sku_tesoros,estado_codigo,clave_sombra,titulo,autor,tipo,encuadernacion,paginas,interior,isbn_publicado,ean13_checksum_valido,isbn13_formato_valido,codigo_barras_ean13,nota_isbn,pvp_eur,fecha_catalogo,fuente_sombra,fuente_codigo,fuente_codex
AP1,AP,1,ALMEAP1,esperado_por_patron,derivado_clave_sombra,LM298AP1,Travesías y Tropiezos de Aldoquino Portomoro (vol . 1),Jae Tanaka,Suplemento,rústica color con solapas,80,A5 color,9125111371250,true,false,9125111371250,"EAN-13 válido por checksum, pero no tiene prefijo ISBN 978/979",20.00,2026-07-31,https://dbsombra.com/index.asp?cod=LM298AP1,https://dbsombra.com/index.asp?cod=LM298AP1,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B1,B,1,ALMEB1,esperado_por_patron,confirmado_codex,LM201B1,La Cripta Nefanda de Uztum el Maldito,Pedro Gil,Suplemento,grapado-color,32,b/n - A4,LM201B1,false,false,,Valor literal publicado por Sombra; no tiene formato ISBN/EAN-13,5.00,2017-01-25,https://dbsombra.com/index.asp?cod=LM201B1,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B2,B,2,ALMEB2,esperado_por_patron,confirmado_codex,LM202B2,La Isla Misteriosa,Pedro Gil,Suplemento,grapado-color,32,b/n - A4,LM202B2,false,false,,Valor literal publicado por Sombra; no tiene formato ISBN/EAN-13,5.00,2017-01-25,https://dbsombra.com/index.asp?cod=LM202B2,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B3,B,3,ALMEB3,esperado_por_patron,confirmado_codex,LM203B3,El Orbe de Amonhotep,Carlos Piedra Tutor,Suplemento,grapado-color,32,b/n - A4,LM203B3,false,false,,Valor literal publicado por Sombra; no tiene formato ISBN/EAN-13,5.00,2017-01-25,https://dbsombra.com/index.asp?cod=LM203B3,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B4,B,4,ALMEB4,esperado_por_patron,confirmado_codex,LM207B4,Muerte en la Mansión del Mago Malifax,Carlos de la Cruz,Suplemento,grapado,28,b/n A4,LM207B4,false,false,,Valor literal publicado por Sombra; no tiene formato ISBN/EAN-13,6.00,2018-03-23,https://dbsombra.com/index.asp?cod=LM207B4,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B5,B,5,ALMEB5,esperado_por_patron,confirmado_codex,LM208B5,Incursión a la Tierra del Dios Azul,José Carlos «Kha» Domínguez,Suplemento,grapado,28,b/n A4,LM208B5,false,false,,Valor literal publicado por Sombra; no tiene formato ISBN/EAN-13,6.00,2018-03-23,https://dbsombra.com/index.asp?cod=LM208B5,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B6,B,6,ALMEB6,esperado_por_patron,confirmado_codex,LM212B6,Tiempo fuera del tiempo,Héctor Prieta de la Calle,Suplemento,rústica-color,20,b/n A4,.,false,false,,Sin ISBN según Sombra,6.00,2018-11-23,https://dbsombra.com/index.asp?cod=LM212B6,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B7,B,7,ALMEB7,esperado_por_patron,confirmado_codex,LM214B7,Presentes Sangrientos,Alejandra González,Suplemento,rústica-color,20,b/n A4,.,false,false,,Sin ISBN según Sombra,6.00,2019-02-08,https://dbsombra.com/index.asp?cod=LM214B7,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B8,B,8,ALMEB8,esperado_por_patron,confirmado_codex,LM215B8,La Tumba de Hielo,José Manue Palacios,Suplemento,rústica-color,16,b/n A4,.,false,false,,Sin ISBN según Sombra,7.00,2019-10-25,https://dbsombra.com/index.asp?cod=LM215B8,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B9,B,9,ALMEB9,esperado_por_patron,confirmado_codex,LM216B9,La Última Frontera,Jorge Moreno,Suplemento,rústica-color,24,b/n A4,.,false,false,,Sin ISBN según Sombra,7.00,2019-10-25,https://dbsombra.com/index.asp?cod=LM216B9,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
