codigo,titulo,nivel_min,nivel_max,personajes_min,personajes_max,sesiones,etiquetas,resumen,fichero,url
B4,Muerte en la mansión del mago Malifax,8,9,6,8,1,Exploración|Torreón|Exterior,"El mago Malifax ha muerto. Nadie ha visto su cuerpo, pero en mitad de la noche la Campana Negra sonó trece veces, cada tañido más fuerte que el anterior. Después de la decimotercera campanada, la Torre Sin Puertas Ni Ventanas, en cuya cúspide estaba el artefacto, tembló y se derrumbó. Los que se atrevieron a acercarse al lugar juran que las runas de la Campana Negra, que refulgían con el fuego del infierno, se apagaron poco a poco. Inmediatamente el rumor se extendió como una plaga malsana por Marvalar: ¡Malifax había muerto! Y por tanto, los tesoros de su mansión estaban al alcance de aquellos lo suficientemente locos y atrevidos como para ir a buscarlos.",B4-muerte-en-la-mansion-del-mago-malifax.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/B4-muerte-en-la-mansion-del-mago-malifax.md
B9,La última frontera,2,4,5,5,1,Fortaleza|Dragón|Exterior,"Contratados como escoltas de caravana, los aventureros deberán partir hacia el Fuerte del Oxus.",B9-La última frontera.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/B9-La%20%C3%BAltima%20frontera.md
BS1,Bestiario de Criaturas extraordinarias,,,,,,Reglamento,"Ampliación de nuevos monstruos y criaturas para incorporar a tus partidas, así como nuevas clases de personajes.",BS1-bestiario.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/BS1-bestiario.md
G1,Un paseo por el campo,1,36,4,6,,Gazetteer,"Cerca del misterioso Valle Sagrado, en los páramos y parajes orientales de la Marca del Este, entre oteros y riscales se enclava el viejo pueblo de Nidaros.",G1-un-paseo-por-el-campo.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/G1-un-paseo-por-el-campo.md
G2,Alameda,1,36,4,6,,Gazetteer,"El viejo pueblo de Alameda se asienta en las tierras orientales fronterizas de la Marca del Este, en la indómita región a caballo entre el belicoso reino de Ungoloz y los baldíos páramos desérticos de Visirtan. Y es aquí donde nuestros héroes continuarán sus aventuras, explorando una comarca antigua preñada de ruinas fabulosas y misterios ocultos por las arenas del tiempo.",G2-alameda.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/G2-alameda.md
G3,Las Frondas de los Medianos,1,36,4,6,,Gazetteer,"Este libro es una descripción de la región conocida como las Frondas de los Medianos, la única nación habitada mayoritariamente por la raza de los medianos en el mundo de Valion.",G3-fronda-de-los-medianos.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/G3-fronda-de-los-medianos.md
PS1,Manual de Psiónica,,,,,,Reglamento,Ampliación de reglas para incorporar a tus partidas habilidades y poderes Psionicos.,PS1-manual-de-psionica.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/PS1-manual-de-psionica.md
SP1,Tomo de Magia,,,,,,Reglamento,Ampliación de nuevos conjuros y objetos mágicos para incorporar a tus partidas.,SP1-tomo-de-magia.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/SP1-tomo-de-magia.md
V3,El Ojo de Sa'nna,3,3,4,6,2,Vermigor|Templo|Terror|Investigación,El pueblo de Raimus Caimas en Vermigor lleva años padeciendo los ataques de una criatura desconocida cada mes durante la luna llena.,V3-el-ojo-de-sanna.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/V3-el-ojo-de-sanna.md
,Aprendiz de mago,1,1,1,1,1,Iniciación|1 jugador|Dungeon,"El personaje es un aprendiz de mago, sujeto por un juramento a su maestro. El personaje se encuentra próximo a superar su Prueba del Aprendiz. De superarla, se convertirá en un mago completo, un igual entre los magos de la Marca. Ignoram es un maestro duro, pero justo, que presiona al personaje con pruebas para que mejore.",aprendiz-de-mago.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/aprendiz-de-mago.md
,Atrapados en el Tiempo,1,2,1,4,3,Investigación|Iniciación|Fortaleza,"Les daré un pronóstico para el invierno: será frío, oscuro y durará... el resto de sus vidas. Phil Connors (Bill Murray).",atrapados-en-el-tiempo.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/atrapados-en-el-tiempo.md
B1,La Cripta nefanda de Uztum el Maldito,1,3,4,6,1,Oneshot|Dungeon,"Reúne a tu grupo de compañeros aventureros y atrévete a buscar la mítica cripta de Uztum, allende las Colinas Rojas, más allá de Reino Bosque y la Marca del Este, para descubrir sus secretos y maravillas de antaño. ¿Podrás sobrevevivir para ver otro día?",b1-la-cripta-nefanda-de-uztum-el-maldito.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b1-la-cripta-nefanda-de-uztum-el-maldito.md
